team,draft_year_start,draft_year_end,total_picks,draft_capital,players_still_on_team,starter_with_drafting_team_count,starter_with_any_team_count,first_team_all_pro_count,second_team_all_pro_count,top5_award_finish_count,retention_score,starter_score,snap_share_score,star_score,premium_picks,premium_bust_count,premium_bust_rate,premium_draft_capital,premium_raw_score,premium_pick_score,premium_pick_dei,bust_penalty_points,missing_premium_pick_count,missing_premium_pick_cost,missing_pick_penalty_points,raw_score,team_score,draft_efficiency_index,bust_adjusted_raw_score,bust_adjusted_draft_capital,bust_adjusted_team_score,bust_adjusted_dei,rank
LA,2021,2025,47,110.5,28,19,20,1,0,0,0.16896347290228098,0.5033538018119903,0.22683019100973867,0.015674667941799794,12,1,0.08333333333333333,60.0,41.580840016014335,0.6930140002669056,106.64691053919722,-1.0606601717798212,5,38.0,-11.348255458758334,101.08784577007198,0.9148221336658098,123.55560574266627,88.67893013953382,148.5,0.5971645127241335,93.69643440080587,1
HOU,2021,2025,41,135.0,30,20,22,3,0,0,0.15859400302461268,0.4702706012296426,0.20690260568414232,0.03505222820421391,18,1,0.05555555555555555,102.0,78.86620310105648,0.7731980696182008,118.98631965284126,-1.7677669529663687,4,30.0,-9.735315495495916,117.56062414925255,0.8708194381426114,117.61261475064357,106.05754170079027,165.0,0.6427729800047896,100.85250391201845,2
TB,2021,2025,36,124.5,25,20,20,0,0,0,0.13987027376259908,0.5042899300077989,0.2019708566306005,0.0,16,2,0.125,92.0,66.37642821859819,0.7214829154195456,111.02795023862937,-2.885800941716264,1,8.0,-2.0,105.34331701992431,0.8461310604009985,114.2782097833682,100.45751607820804,132.5,0.7581699326657211,118.95854131823438,3
LAC,2021,2025,42,128.5,25,20,20,0,0,0,0.1422856996868009,0.5016997101314266,0.20042180802742465,0.0,15,2,0.13333333333333333,88.0,57.916322620046266,0.658140029773253,101.28020624469413,-1.8106601717798212,1,6.0,-1.25,108.5063274931663,0.8444072178456521,114.0453881196888,105.44566732138648,134.5,0.7839826566645834,123.00861487306197,4
GB,2021,2025,52,160.5,34,26,27,0,0,0,0.14286589893891521,0.4761630038870201,0.19805446988775935,0.0,19,2,0.10526315789473684,114.0,71.23154835738704,0.6248381434858512,96.15542768854486,-2.1213203435596424,0,0.0,0.0,131.14188132054798,0.8170833727136946,110.35503770920005,129.02056097698835,160.5,0.8038664235326377,126.12842192504968,5
KC,2021,2025,37,134.0,29,20,20,3,0,0,0.14433504586475834,0.4344114004898638,0.20045150226755434,0.031218519201490658,16,1,0.0625,98.0,70.59746158411023,0.7203822610623494,110.85857214998862,-2.886751345948129,3,16.0,-3.52033494702959,108.59580668837141,0.8104164678236673,109.45460751429947,102.18872039539369,150.0,0.6812581359692913,106.89091010394587,6
SF,2021,2025,45,132.0,29,18,19,1,0,0,0.16561411120411776,0.4403902432504462,0.1865317389805041,0.010163945352271771,17,4,0.23529411764705882,88.0,50.49605192724932,0.5738187719005604,88.30413124269093,-3.036845797034376,3,22.0,-5.7527767497325675,105.95640511992885,0.8027000387873398,108.41242889982573,97.16678257316191,154.0,0.6309531335919605,98.99794383611044,7
DEN,2021,2025,38,114.0,25,15,15,5,0,0,0.15143794770509422,0.39187449957232706,0.18565042026053843,0.06226854345235415,15,1,0.06666666666666667,80.0,59.61316070553139,0.7451645088191424,114.6722759979066,-0.8660254037844387,3,22.0,-6.077168029724872,90.20038085289578,0.7912314109903138,106.86347943484004,83.25718741938647,136.0,0.6121852016131358,96.0532137491351,8
CLE,2021,2025,37,117.0,20,16,18,0,0,0,0.1264286203264205,0.4804498515354659,0.18132021892706265,0.0,15,2,0.13333333333333333,76.0,54.843274822793695,0.7216220371420223,111.0493594769497,-1.7314805650297582,5,36.0,-9.831203874478756,92.21924682230703,0.788198690788949,106.45388114492313,80.65656238279851,153.0,0.5271670743973759,82.71368132579641,9
TEN,2021,2025,39,135.5,18,19,20,1,0,0,0.10898586504429236,0.47266514760153094,0.16581940098171122,0.02214022140221402,16,1,0.0625,94.0,53.15194876256681,0.5654462634315618,87.01569816437207,-2.23606797749979,1,4.0,-1.0606601717798212,104.28224104653093,0.7696106350297486,103.94338385327643,100.98551289725133,139.5,0.7239104867186476,113.58315838540625,10
