team,draft_year_start,draft_year_end,total_picks,draft_capital,players_still_on_team,starter_with_drafting_team_count,starter_with_any_team_count,starter_seasons_with_any_team,avg_starter_years_any_team,first_team_all_pro_count,second_team_all_pro_count,top5_award_finish_count,top5_mvp_finish_count,retention_score,starter_score,snap_share_score,starter_longevity_score,star_score,premium_picks,premium_bust_count,premium_bust_rate,premium_draft_capital,premium_raw_score,premium_bust_adjusted_raw_score,premium_bust_adjusted_draft_capital,premium_pick_score,premium_pick_dei,late_round_picks,late_round_draft_capital,late_round_raw_score,late_round_score,late_round_dei,bust_penalty_points,missing_premium_pick_count,missing_premium_pick_cost,missing_pick_penalty_points,raw_score,team_score,draft_efficiency_index,bust_adjusted_raw_score,bust_adjusted_draft_capital,bust_adjusted_team_score,bust_adjusted_dei,rank
LAC,2023,2025,25,79.0,20,13,13,21,0.84,0,0,0,0,0.20046201030701216,0.48364768424697663,0.1853778130371432,0.06339331252541483,0.0,9,1,0.1111111111111111,54.0,38.95187551036267,38.244768729176116,54.0,0.7082364579477058,123.51066156665979,16,25.0,34.74570927884454,1.3898283711537815,143.1272773541506,-0.7071067811865475,0,0.0,0.0,73.6975847892072,0.9328808201165468,122.55662722161865,72.99047800802065,79.0,0.92393010136735,136.6793041993454,1
TEN,2023,2025,22,73.5,17,12,12,19,0.8636363636363636,1,0,0,0,0.19411679882315122,0.50435835175519,0.17988358023624806,0.05851652936491461,0.04081632653061224,8,0,0.0,50.0,34.52815617226313,34.174602781669854,54.0,0.6328630144753676,110.36614780525004,14,23.5,37.3321754509304,1.5886032106778893,163.59750387857795,0.0,1,4.0,-0.35355339059327373,71.86033162319353,0.977691586710116,128.44361331726688,71.50677823260025,77.5,0.9226681062271,136.49261408348377,2
TB,2023,2025,21,75.0,19,12,12,18,0.8571428571428571,0,0,1,0,0.19218465444591448,0.46480951843703033,0.18572968466873288,0.05137828201504693,0.013333333333333334,10,1,0.1,58.0,44.99051226078413,43.22274530781776,58.0,0.7452197466865131,129.96024547014497,11,17.0,23.067148206720216,1.356891070983542,139.73532897073318,-1.7677669529663687,0,0.0,0.0,68.05766046750435,0.907435472900058,119.21376083816543,66.28989351453798,75.0,0.8838652468605064,130.75240948215927,3
NYG,2023,2025,20,72.0,17,11,11,19,0.95,0,0,3,0,0.1882228022760804,0.4430384163715646,0.1847214387694629,0.07135872502089852,0.0375987052942576,9,0,0.0,56.0,45.303054391330264,44.303054391330264,62.0,0.7145653934085526,124.61437628934863,11,16.0,21.292631925392744,1.3307894953370465,137.04733703268187,0.0,1,6.0,-1.0,66.595686316723,0.924940087732264,121.51341853118207,65.595686316723,78.0,0.8409703373938847,124.40685761528624,4
NE,2023,2025,31,92.5,19,13,14,20,0.6451612903225806,0,0,3,1,0.17306023448116511,0.42137689000195844,0.17278990403568592,0.03573170802745799,0.03234123061148887,10,0,0.0,58.0,41.060299948658006,41.060299948658006,58.0,0.7079362060113449,123.45830007795013,21,34.5,36.20494701343445,1.0494187540125928,108.07122101092018,0.0,0,0.0,0.0,77.26524696209246,0.8352999671577563,109.73700443363597,77.26524696209246,92.5,0.8352999671577563,123.56802548147037,5
ARI,2023,2025,28,102.0,26,14,14,22,0.7857142857142857,0,0,0,0,0.1901664386918532,0.40871706870121044,0.14820504333214934,0.046554496720724786,0.0,14,1,0.07142857142857142,78.0,50.722665109225794,50.01555832803925,78.0,0.641225106769734,111.82442849635069,14,24.0,30.228925730259864,1.259538572094161,129.70977588888553,-0.7071067811865475,0,0.0,0.0,80.95159083948566,0.7936430474459378,104.26435297566685,80.24448405829911,102.0,0.7867106280225403,116.38008230841115,6
CIN,2023,2025,24,79.5,21,10,10,18,0.75,0,0,0,0,0.19746297023672654,0.3673441463306276,0.1609820717438029,0.061362455063029564,0.0,10,2,0.2,58.0,39.026151267016274,37.61193770464318,58.0,0.6484816845628135,113.08991647550717,14,21.5,23.55240438123156,1.0954606688944912,112.81270856290261,-1.414213562373095,0,0.0,0.0,62.578555648247836,0.7871516433741866,103.41154887485244,61.16434208587474,79.5,0.7693627935330156,113.81377351093329,7
LV,2023,2025,28,92.0,19,12,12,19,0.6785714285714286,1,0,1,0,0.16904393221606293,0.37892080307366605,0.14537969898503864,0.046749618568708955,0.030743773095067282,12,1,0.08333333333333333,66.0,52.22360056587851,51.64625029668888,66.0,0.7825189438892255,136.46492123304176,16,26.0,18.69347942046752,0.7189799777102892,74.04198159834176,-0.5773502691896258,0,0.0,0.0,70.91707998634604,0.7708378259385439,101.26833143602481,70.3397297171564,92.0,0.7645622795343087,113.10362139859119,8
PIT,2023,2025,21,74.0,20,10,10,19,0.9047619047619048,0,0,1,0,0.20654179150603602,0.36298262003753073,0.17266974742887037,0.0754786751175324,0.0078020306647246735,10,1,0.1,58.0,43.65566639951372,41.948559618327174,64.0,0.6554462440363621,114.30447884157198,11,16.0,17.429473592333654,1.0893420995208534,112.18260617477517,-0.7071067811865475,1,6.0,-1.0,61.08513999184737,0.8254748647546942,108.4462378248039,59.378033210660824,80.0,0.7422254151332603,109.79927285554425,9
LA,2023,2025,30,75.5,22,11,12,23,0.7666666666666667,1,0,5,0,0.2082549690092992,0.3895729224722525,0.2095016260572193,0.09161455883938127,0.06461344605974635,9,1,0.1111111111111111,46.0,38.07055135347177,32.63139376471635,62.0,0.5263128026567153,91.78465993617851,21,29.5,34.67804159058957,1.1755268335793074,121.05808072350503,-0.7071067811865475,2,16.0,-4.732050807568878,72.74859294406134,0.9635575224378986,126.58675957048267,67.30943535530592,91.5,0.7356222443202833,108.82244918577587,10
