team,draft_year_start,draft_year_end,total_picks,draft_capital,players_still_on_team,starter_with_drafting_team_count,starter_with_any_team_count,starter_seasons_with_any_team,avg_starter_years_any_team,first_team_all_pro_count,second_team_all_pro_count,top5_award_finish_count,top5_mvp_finish_count,retention_score,starter_score,snap_share_score,starter_longevity_score,star_score,premium_picks,premium_bust_count,premium_bust_rate,premium_draft_capital,premium_raw_score,premium_bust_adjusted_raw_score,premium_bust_adjusted_draft_capital,premium_pick_score,premium_pick_dei,late_round_picks,late_round_draft_capital,late_round_raw_score,late_round_score,late_round_dei,bust_penalty_points,missing_premium_pick_count,missing_premium_pick_cost,missing_pick_penalty_points,raw_score,team_score,draft_efficiency_index,bust_adjusted_raw_score,bust_adjusted_draft_capital,bust_adjusted_team_score,bust_adjusted_dei,rank
TB,2018,2025,59,211.0,30,33,34,113,1.9152542372881356,3,0,1,0,0.09165795261129403,0.3339512823108043,0.2288391120414669,0.1265835359614446,0.022152770683292737,28,3,0.10714285714285714,162.0,118.62706382235095,113.83301459017082,170.0,0.6696059681774754,127.27175032336012,31,49.0,50.84489808900087,1.0376509814081811,120.80852571713626,-3.294049232180127,1,8.0,-1.5,169.47196191135183,0.8031846536083025,114.4837326607154,164.6779126791717,219.0,0.7519539391743,122.88669645792288,1
GB,2018,2025,80,244.5,37,36,38,103,1.2875,0,0,0,0,0.09854459720318286,0.3158052092405447,0.20364456409333864,0.1041105306913019,0.0,29,4,0.13793103448275862,176.0,102.06514997111704,99.86472364527086,176.0,0.5674132025299481,107.84801043384572,51,68.5,74.48949837921897,1.0874379325433428,126.60497199276888,-2.200426325846185,0,0.0,0.0,176.554648350336,0.7221049012283681,102.92684763563348,174.35422202448981,244.5,0.7131052025541506,116.53791276771936,2
LAC,2018,2025,62,200.0,28,32,32,90,1.4516129032258065,1,0,0,0,0.09711739281910141,0.3479610453354505,0.22178434796931687,0.09775370842449979,0.005303300858899106,23,2,0.08695652173913043,140.0,93.6017954504348,91.28231623355248,156.0,0.5851430527791825,111.21791629106629,39,60.0,60.382163631018734,1.0063693938503122,117.16656657801502,-1.2071067811865475,3,16.0,-1.1123724356957947,153.98395908145355,0.7699197954072677,109.74225121410763,151.6644798645712,216.0,0.7021503697433852,114.74763926261338,3
CIN,2018,2025,68,222.0,32,30,31,94,1.3823529411764706,2,0,5,2,0.09316045752142588,0.28395221345786953,0.20012946995148184,0.09947386935884667,0.0253105865599954,26,3,0.11538461538461539,152.0,110.92412708208035,109.15636012911398,152.0,0.7181339482178551,136.49544493320153,42,70.0,44.92577741853514,0.6417968202647877,74.72120111226022,-1.7677669529663687,0,0.0,0.0,155.84990450061548,0.7020265968496193,100.06494132249549,154.08213754764913,222.0,0.6940636826470681,113.42608722227628,4
NYG,2018,2025,63,228.0,29,34,35,105,1.6666666666666667,2,0,5,1,0.08428166228228116,0.3128794592884299,0.20497026925766879,0.10445129138300219,0.026548999983060435,28,0,0.0,172.0,113.32363820720309,111.94567373419386,184.0,0.6084004007293145,115.63843152265719,35,56.0,53.83038533312981,0.9612568809487466,111.91434181970818,0.0,2,12.0,-1.3779644730092273,167.1540235403329,0.7331316821944426,104.49857468315247,165.77605906732367,240.0,0.690733579447182,112.88187120081713,5
DET,2018,2025,60,221.5,28,30,33,94,1.5666666666666667,7,0,5,0,0.08517137702287678,0.27040852179231284,0.19640911276941644,0.0993818011910547,0.05686210057989841,29,3,0.10344827586206896,174.0,114.92029798060308,111.64427709866419,178.0,0.6272150398801359,119.21452279159402,31,47.5,41.953292327653266,0.8832272068979635,102.8297362508193,-2.9224674913456203,1,4.0,-0.35355339059327373,156.87359030825635,0.7082329133555592,100.94957261678354,153.59756942631745,225.5,0.6811422147508535,111.31441997721001,6
DAL,2018,2025,69,216.5,24,28,30,98,1.4202898550724639,6,0,6,0,0.07912594727238607,0.2718032488859046,0.20710073517881353,0.10057870129534068,0.0492910613152263,26,1,0.038461538461538464,148.0,98.1117553799479,95.85982797217031,156.0,0.6144860767446815,116.79513363581901,43,68.5,55.148528359722924,0.8050880052514295,93.73237893051775,-1.118033988749895,1,8.0,-1.1338934190276817,153.26028373967083,0.7078996939476713,100.902076438366,151.00835633189325,224.5,0.6726430126142239,109.92545342129915,7
SF,2018,2025,67,206.5,34,28,35,90,1.3432835820895523,7,0,2,1,0.11533813759776095,0.32162832614814196,0.2250078448665251,0.0939403892278878,0.04469749532534503,26,5,0.19230769230769232,144.0,86.49687412863062,79.67257227847752,176.0,0.4526850697640768,86.0416781095,41,62.5,78.82954376007834,1.2612727001612534,146.84368652258215,-2.402528337698811,5,32.0,-4.4217735124542985,165.32641788870896,0.8006121931656608,114.11706122062677,158.50211603855584,238.5,0.6645791028870266,108.60762373082859,8
BUF,2018,2025,64,195.0,35,26,29,105,1.640625,1,0,2,4,0.11449525503908504,0.2688132781237437,0.22796238888204873,0.11406975408578408,0.022717749215039246,24,0,0.0,140.0,91.16078502541905,87.46116641987454,162.0,0.539883743332559,102.61549665108534,40,55.0,54.71060791699263,0.9947383257635023,115.81241936160103,0.0,3,22.0,-3.6996186055445053,145.87139294241166,0.7480584253457008,106.62619161998849,142.17177433686714,217.0,0.6551694669901712,107.06987120371748,9
TEN,2018,2025,55,197.5,20,27,28,80,1.4545454545454546,2,0,0,0,0.07860006916212693,0.3213043632748969,0.18549889027521355,0.09156688967383482,0.020931105919127502,24,3,0.125,144.0,82.0359711959562,77.67554527574714,152.0,0.5110233241825469,97.13000781907076,31,53.5,55.79953916932074,1.0429820405480512,121.42919432993376,-3.830095834319147,2,8.0,-0.5303300858899106,137.83551036527695,0.6979013183051997,99.47693545870237,133.47508444506786,205.5,0.6495137929200383,106.14560301850851,10
