team,draft_year_start,draft_year_end,total_picks,draft_capital,players_still_on_team,starter_with_drafting_team_count,starter_with_any_team_count,starter_seasons_with_any_team,avg_starter_years_any_team,first_team_all_pro_count,second_team_all_pro_count,top5_award_finish_count,top5_mvp_finish_count,retention_score,starter_score,snap_share_score,starter_longevity_score,star_score,premium_picks,premium_bust_count,premium_bust_rate,premium_draft_capital,premium_raw_score,premium_bust_adjusted_raw_score,premium_bust_adjusted_draft_capital,premium_pick_score,premium_pick_dei,late_round_picks,late_round_draft_capital,late_round_raw_score,late_round_score,late_round_dei,bust_penalty_points,missing_premium_pick_count,missing_premium_pick_cost,missing_pick_penalty_points,raw_score,team_score,draft_efficiency_index,bust_adjusted_raw_score,bust_adjusted_draft_capital,bust_adjusted_team_score,bust_adjusted_dei,rank
LAC,2017,2025,69,224.5,29,39,39,117,1.6956521739130435,2,0,4,0,0.08800361646839028,0.35156143608206436,0.23104586053673196,0.10787264299138807,0.016139103959599953,26,2,0.07692307692307693,158.0,105.47207731360187,103.15259809671954,174.0,0.5928310235443652,112.90425192880475,43,66.5,72.92070986496833,1.0965520280446366,131.46677116442615,-1.2071067811865475,3,16.0,-1.1123724356957947,178.39278717857022,0.7946226600381747,115.06018675568266,176.07330796168787,240.5,0.7321135466182448,121.04652496505295,1
TB,2017,2025,65,235.5,31,37,38,126,1.9384615384615385,3,0,2,0,0.0835378400607914,0.32185585520557547,0.22355218451148148,0.12332254531294327,0.021581668384877413,32,3,0.09375,184.0,131.2635516305933,126.46950239841318,192.0,0.6586953249917353,125.44806186518218,33,51.5,50.978145382926755,0.9898669006393545,118.67617949843094,-3.294049232180127,1,8.0,-1.5,182.24169701352005,0.773850093475669,112.05234981838474,177.44764778133992,243.5,0.7287377732293221,120.48837979797321,2
DAL,2017,2025,78,241.0,24,33,35,123,1.5769230769230769,6,0,7,0,0.07108202317208126,0.27183431556209553,0.21285673186712226,0.1048767171387604,0.046135802366167857,29,1,0.034482758620689655,166.0,108.45752764219927,106.20560023442168,174.0,0.6103770128415039,116.24587326316127,49,75.0,61.87779957340152,0.8250373276453535,98.91458935065339,-1.118033988749895,1,8.0,-1.1338934190276817,170.33532721560078,0.7067855901062273,102.34150884891834,168.0833998078232,249.0,0.6750337341679647,111.60903678486747,3
BUF,2017,2025,70,220.0,38,30,33,131,1.8714285714285714,3,0,5,5,0.10602988514827992,0.2625087389430153,0.24509119707218052,0.12231940324270257,0.035471520658117574,27,0,0.0,160.0,108.20608624009043,104.33980096787926,186.0,0.5609666718703186,106.83570853941622,43,60.0,61.50647767405466,1.0251079612342442,122.90126716443218,0.0,4,26.0,-3.866285272211172,169.71256391414508,0.7714207450642958,111.70058375888952,165.8462786419339,246.0,0.6741718643981053,111.46653656602051,4
NYG,2017,2025,69,252.0,29,37,38,123,1.7826086956521738,2,0,6,1,0.07625483730301628,0.2989544314196906,0.20057184190487473,0.10607762342059984,0.02542351343940894,31,0,0.0,190.0,122.2081661384131,120.83020166540388,202.0,0.5981693151752667,113.92092581938704,38,62.0,56.02696022845968,0.9036606488461238,108.34082167901865,0.0,2,12.0,-1.3779644730092273,178.23512636687278,0.7072822474875904,102.41342410370162,176.85716189386355,264.0,0.6699134920222104,110.7624638432984,5
GB,2017,2025,90,272.5,37,40,43,122,1.3555555555555556,0,0,0,0,0.08841891382083747,0.30537384829105757,0.19966682874515368,0.10595116117684397,0.0,32,4,0.125,192.0,107.80928290110857,104.6088565752624,200.0,0.523044282876312,99.61341619863586,58,80.5,82.78014702812717,1.028324807802822,123.28693826884519,-2.200426325846185,1,8.0,-1.0,190.58942992923573,0.6994107520338926,101.27364319573525,187.38900360338957,280.5,0.6680534887821376,110.45493377549055,6
SF,2017,2025,77,240.0,36,35,42,115,1.4935064935064934,9,0,4,1,0.10201663366918459,0.31562326117885264,0.2269265622149646,0.09506398767593957,0.0497555441292763,30,5,0.16666666666666666,168.0,97.31742475322508,90.15978956973862,206.0,0.4376688814064982,83.35373097089517,47,72.0,92.13521257514718,1.2796557302103775,153.41926579881923,-2.402528337698811,6,38.0,-4.7551068457876315,189.45263732837225,0.7893859888682176,114.30192450984585,182.2950021448858,278.0,0.6557374177873591,108.41861358714388,7
CIN,2017,2025,79,255.5,32,34,35,106,1.3417721518987342,2,0,5,2,0.08094568129063226,0.26759579147154744,0.19478818150346439,0.09360678016045908,0.021991977363283673,29,3,0.10344827586206896,170.0,119.0211525342546,117.25338558128821,170.0,0.6897257975369895,131.35779356035056,50,85.5,49.33505667793374,0.577018206759459,69.17931717387276,-1.7677669529663687,0,0.0,0.0,168.35620921218833,0.6589284117893868,95.4118601594748,166.58844225922198,255.5,0.6520095587445087,107.8022551209183,8
DET,2017,2025,69,250.0,29,33,36,102,1.4782608695652173,8,0,5,0,0.07679517337560214,0.2555819503079892,0.19074880141157133,0.09371894252194114,0.05437982111378999,32,3,0.09375,192.0,121.65346731675633,118.37744643481743,196.0,0.6039665634429461,115.02500767899457,37,58.0,46.15270486596711,0.7957362907925364,95.4016573526352,-2.9224674913456203,1,4.0,-0.35355339059327373,167.80617218272346,0.6712246887308938,97.19234288724073,164.53015130078455,254.0,0.6477565011841911,107.09906114160891,9
PIT,2017,2025,67,222.0,28,32,35,109,1.626865671641791,4,0,7,0,0.08456601250827502,0.2890635518979168,0.20683362437165062,0.11119194250970907,0.02982874508497982,29,3,0.10344827586206896,164.0,119.0073080075085,114.81952740891191,184.0,0.6240191707006082,118.8440126428585,38,58.0,41.162112547193445,0.7096915956412663,85.08566872824103,-1.5850712541957748,3,20.0,-2.6027093444008162,160.16942055470196,0.7214838763725313,104.46979897684922,155.98163995610537,242.0,0.6445522312235759,106.56927208692743,10
BAL,2017,2025,82,284.0,36,37,45,149,1.8170731707317074,10,0,5,3,0.08338510606807936,0.27598440982401623,0.19741364538270634,0.09674852311775248,0.05248310733450085,33,2,0.06060606060606061,190.0,129.63788305885652,126.84136121604456,214.0,0.5927166411964699,112.88246789100968,49,94.0,70.87031779162717,0.7539395509747572,90.39060243822182,-1.0404401145198807,4,24.0,-1.7560817282920849,200.5082008504837,0.7060147917270553,102.2298983828208,197.71167900767173,308.0,0.6419210357391939,106.13423428253309,11
