season,award,player_name,team_position,result,rank,votes,source_url
2017,OROY,Deshaun Watson,Houston Texans QB,vote_finisher,3.0,1.0,https://www.pro-football-reference.com/awards/awards_2017.htm
2017,DROY,Marshon Lattimore,New Orleans Saints RCB,vote_finisher,1.0,45.0,https://www.pro-football-reference.com/awards/awards_2017.htm
2017,DROY,Tre'Davious White,Buffalo Bills LCB,vote_finisher,2.0,4.0,https://www.pro-football-reference.com/awards/awards_2017.htm
2017,DROY,Reuben Foster,San Francisco 49ers MLB,vote_finisher,3.0,1.0,https://www.pro-football-reference.com/awards/awards_2017.htm
2017,CPOY,Keenan Allen,Los Angeles Chargers WR,vote_finisher,1.0,28.0,https://www.pro-football-reference.com/awards/awards_2017.htm
2017,CPOY,Case Keenum,Minnesota Vikings QB,vote_finisher,2.0,8.0,https://www.pro-football-reference.com/awards/awards_2017.htm
2017,CPOY,Rob Gronkowski,New England Patriots TE,vote_finisher,3.0,5.0,https://www.pro-football-reference.com/awards/awards_2017.htm
2017,CPOY,Cameron Heyward,Pittsburgh Steelers LDE,vote_finisher,4.0,2.0,https://www.pro-football-reference.com/awards/awards_2017.htm
2017,CPOY,Jaylon Smith,Dallas Cowboys MLB,vote_finisher,5.0,2.0,https://www.pro-football-reference.com/awards/awards_2017.htm
2017,CPOY,Kyle Fuller,Chicago Bears CB,vote_finisher,6.0,1.0,https://www.pro-football-reference.com/awards/awards_2017.htm
2017,CPOY,Todd Gurley,Los Angeles Rams RB,vote_finisher,7.0,1.0,https://www.pro-football-reference.com/awards/awards_2017.htm
2017,CPOY,Marshawn Lynch,Oakland Raiders RB,vote_finisher,8.0,1.0,https://www.pro-football-reference.com/awards/awards_2017.htm
2017,CPOY,Manti Te'o,New Orleans Saints MLB,vote_finisher,9.0,1.0,https://www.pro-football-reference.com/awards/awards_2017.htm
2017,CPOY,Ben Watson,Baltimore Ravens TE,vote_finisher,10.0,1.0,https://www.pro-football-reference.com/awards/awards_2017.htm
2018,MVP,Patrick Mahomes,Kansas City Chiefs QB,vote_finisher,1.0,41.0,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,MVP,Drew Brees,New Orleans Saints QB,vote_finisher,2.0,9.0,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,OPOY,Patrick Mahomes,Kansas City Chiefs QB,vote_finisher,1.0,30.0,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,OPOY,Drew Brees,New Orleans Saints QB,vote_finisher,2.0,16.0,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,OPOY,DeAndre Hopkins,Houston Texans WR,vote_finisher,3.0,2.0,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,OPOY,Todd Gurley,Los Angeles Rams RB,vote_finisher,4.0,2.0,https://www.pro-football-reference.com/awards/awards_2018.htm
