team,draft_year_start,draft_year_end,total_picks,draft_capital,players_still_on_team,starter_with_drafting_team_count,starter_with_any_team_count,starter_seasons_with_any_team,avg_starter_years_any_team,first_team_all_pro_count,second_team_all_pro_count,top5_award_finish_count,top5_mvp_finish_count,retention_score,starter_score,snap_share_score,starter_longevity_score,star_score,premium_picks,premium_bust_count,premium_bust_rate,premium_draft_capital,premium_raw_score,premium_bust_adjusted_raw_score,premium_bust_adjusted_draft_capital,premium_pick_score,premium_pick_dei,late_round_picks,late_round_draft_capital,late_round_raw_score,late_round_score,late_round_dei,bust_penalty_points,missing_premium_pick_count,missing_premium_pick_cost,missing_pick_penalty_points,raw_score,team_score,draft_efficiency_index,bust_adjusted_raw_score,bust_adjusted_draft_capital,bust_adjusted_team_score,bust_adjusted_dei,rank
TB,2019,2025,51,175.0,29,28,28,79,1.5490196078431373,3,0,2,0,0.10849299777365581,0.3582031198544438,0.22601876583818006,0.11676316231333829,0.029042759455077886,23,3,0.13043478260869565,132.0,102.0695772544014,97.27552802222127,140.0,0.6948252001587233,130.86219644435326,28,43.0,44.67156366167039,1.0388735735272183,118.08457284717721,-3.294049232180127,1,8.0,-1.5,146.74114091607177,0.8385208052346959,117.85482098338792,141.94709168389167,183.0,0.7756671676715392,125.12607451285244,1
GB,2019,2025,69,215.0,37,33,34,91,1.318840579710145,0,0,0,0,0.11206583263338701,0.33611454042329003,0.20139826214165804,0.10729553194194752,0.0,26,4,0.15384615384615385,158.0,95.0277369211638,92.8273105953176,158.0,0.5875146240209974,110.65150504760499,43,57.0,67.70020901399697,1.1877229651578416,135.00368338878715,-2.200426325846185,0,0.0,0.0,162.72794593516076,0.7568741671402827,106.37931571692137,160.52751960931457,215.0,0.7466396260898351,120.44352188943746,2
CIN,2019,2025,57,189.5,32,25,26,73,1.280701754385965,2,0,5,2,0.10913784469528519,0.2953367998721982,0.20248296020345374,0.09741043136719212,0.029651452328860045,22,2,0.09090909090909091,130.0,98.40518916488088,96.99097560250779,130.0,0.7460844277115983,140.51627218034818,35,59.5,40.6915038996136,0.6838908218422454,77.73511390530206,-1.414213562373095,0,0.0,0.0,139.09669306449447,0.7340194884669893,103.16707095583885,137.6824795021214,189.5,0.7265566200639652,117.20384923966098,3
LAC,2019,2025,55,175.5,27,27,27,69,1.2545454545454546,0,0,2,0,0.1086605422975898,0.3562458191180891,0.2131602650270405,0.0932692944134501,0.0048744267006485525,20,2,0.1,122.0,81.43684608893557,79.11736687205322,138.0,0.5733142526960379,107.9770312641482,35,53.5,54.78806990728601,1.0240760730333833,116.40260059420353,-1.2071067811865475,3,16.0,-1.1123724356957947,136.22491599622157,0.7762103475568181,109.09703251925573,133.90543677933923,191.5,0.6992451006754007,112.79811524381415,4
NYG,2019,2025,57,201.0,29,30,31,82,1.4385964912280702,1,0,3,0,0.09560307960378162,0.32676448989188883,0.2053575600888156,0.10001285489599562,0.019561451007851425,24,0,0.0,150.0,96.52573048935041,95.14776601634118,162.0,0.5873318889897604,110.61708904261619,33,51.0,53.68145604380453,1.0525775694863633,119.64225084608982,0.0,2,12.0,-1.3779644730092273,150.20718653315495,0.7472994354883331,105.03357894120875,148.82922206014572,213.0,0.6987287420664119,112.71481930391039,5
DET,2019,2025,54,198.0,28,25,28,79,1.462962962962963,7,0,5,0,0.09528010106347073,0.26678999881379706,0.19155648281199628,0.09778494209277305,0.06361088524468433,26,3,0.11538461538461539,156.0,104.04899299542383,100.77297211348493,160.0,0.6298310757092808,118.62131358706948,28,42.0,37.525444189867024,0.8934629569015958,101.5563340034625,-2.9224674913456203,1,4.0,-0.35355339059327373,141.57443718529086,0.7150224100267215,100.4970152281715,138.29841630335196,202.0,0.6846456252641187,110.443013565804,6
TEN,2019,2025,51,180.5,20,25,26,68,1.3333333333333333,2,0,1,0,0.08600284575911396,0.33589575967892493,0.18301280341235393,0.08550033396749486,0.02499644261516293,22,3,0.13636363636363635,130.0,73.63453819743766,69.45088897252525,134.0,0.518290216212875,97.61389781738194,29,50.5,55.49663927322796,1.0989433519451082,124.91246250214037,-3.830095834319147,1,4.0,-0.35355339059327373,129.13117747066562,0.7154081854330505,100.55123629361063,124.9475282457532,184.5,0.6772223753157355,109.2455384567863,7
KC,2019,2025,49,176.0,31,28,29,73,1.489795918367347,3,0,1,0,0.11453064049321218,0.3403649732619392,0.21022437455310464,0.10649409539707323,0.02630963163920287,22,1,0.045454545454545456,132.0,86.92244520152242,81.56034973089311,156.0,0.5228227546852122,98.46754840435416,27,44.0,53.51212869911524,1.2161847431617099,138.2388190046128,-2.3094010767585034,4,24.0,-3.0526943938708087,140.43457390063764,0.7979237153445321,112.14886505291749,135.07247843000835,200.0,0.6753623921500417,108.94549689014131,8
DAL,2019,2025,60,188.0,24,22,24,68,1.1333333333333333,6,0,7,0,0.09112110417272119,0.26787298941255205,0.19570799210680193,0.0838557510125298,0.05914217218216199,23,1,0.043478260869565216,130.0,85.31681594647546,83.06488853869787,138.0,0.6019194821644773,113.36449153067224,37,58.0,45.85078572423674,0.7905307883489092,89.85644918060615,-1.118033988749895,1,8.0,-1.1338934190276817,131.1676016707122,0.697700008886767,98.06233683664325,128.9156742629346,196.0,0.657733031953748,106.10163198329319,9
BUF,2019,2025,56,166.5,33,22,23,67,1.1964285714285714,1,0,2,0,0.1298466543629732,0.27235748601960696,0.208576149546049,0.10121268973081367,0.01811259780516251,21,0,0.0,120.0,75.96525272390629,72.61918750895506,136.0,0.5339646140364342,100.56598724457169,35,46.5,45.59732592395049,0.9805876542785052,111.45944727571708,0.0,2,16.0,-3.3460652149512313,121.56257864785678,0.7301055774646052,102.61696739531745,118.21651343290554,182.5,0.6477617174405783,104.49311805519783,10
