team,draft_year_start,draft_year_end,total_picks,draft_capital,players_still_on_team,starter_with_drafting_team_count,starter_with_any_team_count,starter_seasons_with_any_team,avg_starter_years_any_team,first_team_all_pro_count,second_team_all_pro_count,top5_award_finish_count,top5_mvp_finish_count,retention_score,starter_score,snap_share_score,starter_longevity_score,star_score,premium_picks,premium_bust_count,premium_bust_rate,premium_draft_capital,premium_raw_score,premium_bust_adjusted_raw_score,premium_bust_adjusted_draft_capital,premium_pick_score,premium_pick_dei,late_round_picks,late_round_draft_capital,late_round_raw_score,late_round_score,late_round_dei,bust_penalty_points,missing_premium_pick_count,missing_premium_pick_cost,missing_pick_penalty_points,raw_score,team_score,draft_efficiency_index,bust_adjusted_raw_score,bust_adjusted_draft_capital,bust_adjusted_team_score,bust_adjusted_dei,rank
DAL,2016,2025,87,269.0,25,38,40,161,1.8505747126436782,7,0,14,3,0.0648587187750499,0.2670506519360661,0.22674882541224228,0.11688375564226616,0.05661594545897898,32,1,0.03125,184.0,122.63962903833614,120.38770163055857,192.0,0.6270192793258259,120.91870249542741,55,85.0,74.31084531508219,0.874245239000967,107.37428706469295,-1.118033988749895,1,8.0,-1.1338934190276817,196.95047435341831,0.7321578972246034,108.07963006415127,194.69854694564074,277.0,0.7028828409589919,117.91118565966389,1
LAC,2016,2025,77,250.0,29,42,42,135,1.7532467532467533,2,0,5,0,0.07902724758861447,0.330881102370502,0.2244054601348331,0.10667269415278846,0.01575782641978811,29,3,0.10344827586206896,176.0,114.02527220496502,111.38956522206584,192.0,0.5801539855315929,111.88087749623644,48,74.0,75.16081046166651,1.0156866278603582,124.74603541710273,-1.5233345472033855,3,16.0,-1.1123724356957947,189.18608266663153,0.7567443306665261,111.70902836890616,186.55037568373237,266.0,0.7013172018185427,117.64854392677756,2
TB,2016,2025,72,262.5,31,41,42,133,1.8472222222222223,3,0,2,0,0.07494537651168143,0.30802551678926643,0.21243807048038005,0.11334846436089914,0.019361839636718593,35,3,0.08571428571428572,204.0,136.45199622762982,131.49983311244128,216.0,0.6087955236687096,117.4043083431112,37,58.5,54.67931156434342,0.9346890865699731,114.79796494206464,-3.294049232180127,2,12.0,-1.658113883008419,191.13130779197323,0.7281192677789456,107.48345596276208,186.1791446767847,274.5,0.678248250188651,113.77864231572846,3
GB,2016,2025,97,299.5,37,44,47,144,1.4845360824742269,0,0,0,0,0.0804479265982578,0.29473795631246275,0.20245228886341518,0.10880590207475066,0.0,35,4,0.11428571428571428,210.0,114.89623536417086,111.69580903832467,218.0,0.5123660965060765,98.808195592926,62,89.5,90.6937647535706,1.0133381536711799,124.45759719576219,-2.200426325846185,1,8.0,-1.0,205.59000011774145,0.6864440738488863,101.33145028217481,202.3895737918953,307.5,0.6581774757460009,110.41169597170949,4
NYG,2016,2025,75,276.0,29,41,42,140,1.8666666666666667,2,0,6,1,0.0696239818853627,0.2912904383117081,0.20035788565341153,0.10458731348769862,0.023212773140329903,34,0,0.0,208.0,132.0098462857036,130.63188181269436,220.0,0.5937812809667925,114.50885870331815,41,68.0,58.174134038365416,0.8555019711524325,105.0722499099939,0.0,2,12.0,-1.3779644730092273,190.18398032406898,0.6890723924785108,101.71943722632629,188.80601585105975,288.0,0.6555764439272909,109.97536330314672,5
DET,2016,2025,79,278.5,31,38,41,130,1.6455696202531647,9,0,5,0,0.07120735682561657,0.25213659927229465,0.19947145090247398,0.09605072593774536,0.052221323434463236,35,3,0.08571428571428572,210.0,135.8218347529805,132.5458138710416,214.0,0.619372962014213,119.44413417085742,44,68.5,51.076021846786865,0.7456353554275454,91.57849665930301,-2.9224674913456203,1,4.0,-0.35355339059327373,186.89785659976735,0.6710874563725937,99.06453826474531,183.62183571782847,282.5,0.6499887990011628,109.03801528454086,6
CIN,2016,2025,86,280.0,32,38,39,129,1.5,2,0,5,2,0.07386293417770194,0.26225131777589206,0.19773908206611487,0.09868645922033978,0.020067679343996354,32,3,0.09375,188.0,130.09399134756939,128.326224394603,188.0,0.6825862999712926,131.63462824050316,54,92.0,52.63610097596323,0.5721315323474264,70.26885895682558,-1.7677669529663687,0,0.0,0.0,182.7300923235326,0.6526074725840451,96.33656139113775,180.96232537056625,280.0,0.6462940191805937,108.4182023598146,7
TEN,2016,2025,74,262.0,21,36,39,140,1.8918918918918919,8,0,3,0,0.06052231676661604,0.29178944173204413,0.193798742447987,0.10492468502165071,0.041360355772418575,33,4,0.12121212121212122,198.0,117.53734835705131,112.05301968846683,212.0,0.5285519796625794,101.92959242163482,41,64.0,63.8702835790164,0.9979731809221313,122.570480262094,-4.620665249361242,3,14.0,-0.863663419223244,181.40763193606773,0.6923955417407165,102.20999362716363,175.92330326748322,276.0,0.6374032727082726,106.92674688976703,8
BUF,2016,2025,77,245.0,39,32,36,139,1.8051948051948052,3,0,5,5,0.0965012346883201,0.2486293886842112,0.22918048784272915,0.11274196402829571,0.03185197773381986,30,0,0.0,178.0,114.1599656106589,110.29368033844773,204.0,0.5406552957767046,104.26367899387803,47,67.0,61.97177236879822,0.9249518263999734,113.60204036383998,0.0,4,26.0,-3.866285272211172,176.1317379794571,0.718905052977376,106.12327268691361,172.26545270724594,271.0,0.635665877148509,106.63529238487108,9
KC,2016,2025,70,244.0,35,36,37,124,1.7714285714285714,13,0,9,3,0.08808951045115626,0.28843480783911396,0.20815121821096028,0.11047669359348926,0.07309553900664342,30,3,0.1,174.0,116.31380500297297,108.2725849059032,214.0,0.5059466584388,97.57022708471771,40,70.0,71.13865065775964,1.0162664379679949,124.81724735416917,-2.9791822333686153,6,40.0,-5.062037863701144,187.4524556607326,0.768247769101363,113.40714208893276,179.41123556366287,284.0,0.6317297026889538,105.97498462027093,10
