season,award,player_name,team_position,result,rank,votes,source_url
2017,DROY,Tre'Davious White,Buffalo Bills LCB,vote_finisher,2,4,https://www.pro-football-reference.com/awards/awards_2017.htm
2017,DROY,Reuben Foster,San Francisco 49ers MLB,vote_finisher,3,1,https://www.pro-football-reference.com/awards/awards_2017.htm
2017,CPOY,Keenan Allen,Los Angeles Chargers WR,vote_finisher,1,28,https://www.pro-football-reference.com/awards/awards_2017.htm
2017,CPOY,Case Keenum,Minnesota Vikings QB,vote_finisher,2,8,https://www.pro-football-reference.com/awards/awards_2017.htm
2017,CPOY,Rob Gronkowski,New England Patriots TE,vote_finisher,3,5,https://www.pro-football-reference.com/awards/awards_2017.htm
2017,CPOY,Cameron Heyward,Pittsburgh Steelers LDE,vote_finisher,4,2,https://www.pro-football-reference.com/awards/awards_2017.htm
2017,CPOY,Jaylon Smith,Dallas Cowboys MLB,vote_finisher,5,2,https://www.pro-football-reference.com/awards/awards_2017.htm
2017,CPOY,Kyle Fuller,Chicago Bears CB,vote_finisher,6,1,https://www.pro-football-reference.com/awards/awards_2017.htm
2017,CPOY,Todd Gurley,Los Angeles Rams RB,vote_finisher,7,1,https://www.pro-football-reference.com/awards/awards_2017.htm
2017,CPOY,Marshawn Lynch,Oakland Raiders RB,vote_finisher,8,1,https://www.pro-football-reference.com/awards/awards_2017.htm
2017,CPOY,Manti Te'o,New Orleans Saints MLB,vote_finisher,9,1,https://www.pro-football-reference.com/awards/awards_2017.htm
2017,CPOY,Ben Watson,Baltimore Ravens TE,vote_finisher,10,1,https://www.pro-football-reference.com/awards/awards_2017.htm
2018,MVP,Patrick Mahomes,Kansas City Chiefs QB,vote_finisher,1,41,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,MVP,Drew Brees,New Orleans Saints QB,vote_finisher,2,9,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,OPOY,Patrick Mahomes,Kansas City Chiefs QB,vote_finisher,1,30,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,OPOY,Drew Brees,New Orleans Saints QB,vote_finisher,2,16,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,OPOY,DeAndre Hopkins,Houston Texans WR,vote_finisher,3,2,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,OPOY,Todd Gurley,Los Angeles Rams RB,vote_finisher,4,2,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,DPOY,Aaron Donald,Los Angeles Rams DT,vote_finisher,1,45,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,DPOY,Khalil Mack,Chicago Bears LB,vote_finisher,2,5,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,OROY,Saquon Barkley,New York Giants RB,vote_finisher,1,26.5,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,OROY,Baker Mayfield,Cleveland Browns QB,vote_finisher,2,21.5,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,OROY,Quenton Nelson,Indianapolis Colts G,vote_finisher,3,2,https://www.pro-football-reference.com/awards/awards_2018.htm
